COMNAM_crsp	CNAME_ibes	new_ibes2	new_crsp2	id
LIBERTY MEDIA CORP 3RD NEW	LIBERTY MEDIA CORP	LIBERTY MEDIA	LIBERTY MEDIA CORP 3RD NEW	3305
LIBERTY OILFIELD SERVICES INC	LIBERTY OILFIELD SERVICES INC	LIBERTY OILFIELD SERVICES	LIBERTY OILFIELD SERVICES	3306
LIFE PARTNERS HOLDINGS INC	LIFE PARTNERS HOLDINGS INC	LIFE PARTNERS HOLDINGS	LIFE PARTNERS HOLDINGS	3307
LIFE QUOTES INC	LIFE QUOTES INC	LIFE QUOTES	LIFE QUOTES	3308
LIFE TECHNOLOGIES CORP	LIFE TECHNOLOGIES CORP	LIFE TECHNOLOGY	LIFE TECHNOLOGY	3309
LIFE TIME FITNESS INC	LIFE TIME FITNESS INC	LIFE TIME FITNESS	LIFE TIME FITNESS	3310
LIFELOCK INC	LIFELOCK INC	LIFELOCK	LIFELOCK	3311
LIFEPOINT HEALTH INC	LIFEPOINT HEALTH INC	LIFEPOINT HEALTH	LIFEPOINT HEALTH	3312
LIFEPOINT HOSPITALS INC	LIFEPOINT HOSPITALS INC	LIFEPOINT HOSPITALS	LIFEPOINT HOSPITALS	3313
LIFETIME BRANDS INC	LIFETIME BRANDS INC	LIFETIME BRANDS	LIFETIME BRANDS	3314
LIFEVANTAGE CORP	LIFEVANTAGE CORP	LIFEVANTAGE	LIFEVANTAGE	3315
LIFEWAY FOODS INC	LIFEWAY FOODS	LIFEWAY FOODS	LIFEWAY FOODS	3316
LIGAND PHARMACEUTICALS INC	LIGAND PHARMACEUTICALS-B	LIGAND PHARMACEUTICALSB	LIGAND PHARMACEUTICALS	3317
LIGHTBRIDGE CORP	LIGHTBRIDGE CORP	LIGHTBRIDGE	LIGHTBRIDGE	3318
LIGHTPATH TECHNOLOGIES INC	LIGHTPATH TECHNOLOGIES	LIGHTPATH TECHNOLOGY	LIGHTPATH TECHNOLOGY	3319
LIHUA INTERNATIONAL INC	LIHUA INTERNATIONAL INC	LIHUA INTERNATIONAL	LIHUA INTERNATIONAL	3320
LILIS ENERGY INC	LILIS ENERGY INC	LILIS ENERGY	LILIS ENERGY	3321
LILLY ELI & CO	ELI LILLY AND CO	ELI LILLY  	LILLY ELI 	3322
LIMBACH HOLDINGS INC	LIMBACH HOLDINGS INC	LIMBACH HOLDINGS	LIMBACH HOLDINGS	3323
LIME ENERGY CO	LIME ENERGY CO	LIME ENERGY	LIME ENERGY	3324
LIMELIGHT NETWORKS INC	LIMELIGHT NETWORKS INC	LIMELIGHT NETWORKS	LIMELIGHT NETWORKS	3325
LIMESTONE BANCORP INC	LIMESTONE BANCORP INC	LIMESTONE BANK	LIMESTONE BANK	3326
LIMITED BRANDS INC	LIMITED BRANDS INC	LIMITED BRANDS	LIMITED BRANDS	3327
LIMONEIRA CO	LIMONEIRA CO	LIMONEIRA	LIMONEIRA	3328
LIN MEDIA LLC	LIN MEDIA LLC	LIN MEDIA	LIN MEDIA	3329
LIN TV CORP	LIN TV CORP.	LIN TV	LIN TV	3330
LINCARE HOLDINGS INC	LINCARE HLDGS INC	LINCARE HLDGS	LINCARE HOLDINGS	3331
LINCOLN EDUCATIONAL SVCS CORP	LINCOLN EDUCATIONAL SERVICES COR	LINCOLN EDUCATIONAL SERVICES COR	LINCOLN EDUCATIONAL SERVICES	3332
LINCOLN ELECTRIC HOLDINGS INC	LINCOLN ELECTRIC HOLDINGS INC.	LINCOLN ELECTRIC HOLDINGS	LINCOLN ELECTRIC HOLDINGS	3333
LINCOLN NATIONAL CORP	LINCOLN NATL	LINCOLN NATL	LINCOLN NATIONAL	3334
LINDBLAD EXPEDITIONS HLDS INC	LINDBLAD EXPEDITIONS HOLDINGS IN	LINDBLAD EXPEDITIONS HOLDINGS IN	LINDBLAD EXPEDITIONS HLDS	3335
LINDSAY CORP	LINDSAY MFG	LINDSAY MFG	LINDSAY	3336
LINEAR TECHNOLOGY CORP	LINEAR TECHNOLOGY CORP	LINEAR TECHNOLOGY	LINEAR TECHNOLOGY	3337
LINKEDIN CORP	LINKEDIN CORP	LINKEDIN	LINKEDIN	3338
LINNCO L L C	LINNCO LLC	LINNCO	LINNCO L L C	3339
LION BIOTECHNOLOGIES INC	LION BIOTECHNOLOGIES INC	LION BIOTECHNOLOGIES	LION BIOTECHNOLOGIES	3340
LIONBRIDGE TECHNOLOGIES	"LIONBRIDGE TECHNOLOGIES, INC."	LIONBRIDGE TECHNOLOGY	LIONBRIDGE TECHNOLOGY	3341
LIPOCINE INC	LIPOCINE INC	LIPOCINE	LIPOCINE	3342
LIPOSCIENCE INC	LIPOSCIENCE INC	LIPOSCIENCE	LIPOSCIENCE	3343
LIQTECH INTERNATIONAL INC	LIQTECH INTERNATIONAL INC	LIQTECH INTERNATIONAL	LIQTECH INTERNATIONAL	3344
LIQUID HOLDINGS GROUP INC	LIQUID HOLDINGS GROUP INC	LIQUID HOLDINGS GROUP	LIQUID HOLDINGS GROUP	3345
LIQUIDIA TECHNOLOGIES INC	LIQUIDIA TECHNOLOGIES INC	LIQUIDIA TECHNOLOGY	LIQUIDIA TECHNOLOGY	3346
LIQUIDITY SERVICES INC	LIQUIDITY SERVICES INC	LIQUIDITY SERVICES	LIQUIDITY SERVICES	3347
LITHIA MOTORS INC	LITHIA MOTORS	LITHIA MOTORS	LITHIA MOTORS	3348
LITTELFUSE INC	LITTELFUSE INC	LITTELFUSE	LITTELFUSE	3349
LIVE NATION ENTERTAINMENT INC	LIVE NATION	LIVE NATION	LIVE NATION ENTERTAINMENT	3350
LIVE OAK BANCSHARES	LIVE OAK BANCSHARES INC	LIVE OAK BANCSHARES	LIVE OAK BANCSHARES	3351
LIVE VENTURES INC	LIVE VENTURES INC	LIVE VENTURES	LIVE VENTURES	3352
LIVEDEAL INC	LIVEDEAL INC	LIVEDEAL	LIVEDEAL	3353
LIVENT CORP	LIVENT CORP	LIVENT	LIVENT	3354
LIVEPERSON INC	LIVEPERSON INC	LIVEPERSON	LIVEPERSON	3355
LIVERAMP HOLDINGS INC	LIVERAMP HOLDINGS INC	LIVERAMP HOLDINGS	LIVERAMP HOLDINGS	3356
LIVEXLIVE MEDIA INC	LIVEXLIVE MEDIA INC	LIVEXLIVE MEDIA	LIVEXLIVE MEDIA	3357
LIZ CLAIBORNE INC	LIZ CLAIBORN	LIZ CLAIBORN	LIZ CLAIBORNE	3358
LO JACK CORP	LOJACK CORP	LOJACK	LO JACK	3359
LOCAL COM CORP	LOCAL.COM CORP	LOCALCOM	LOCAL COM	3360
LOCAL CORP	LOCAL.COM CORP	LOCALCOM	LOCAL	3361
LOCKHEED MARTIN CORP	LOCKHEED MARTIN CORP	LOCKHEED MARTIN	LOCKHEED MARTIN	3362
LODGENET INTERACTIVE CORP	LODGENET INTERACTIVE CORP	LODGENET INTERACTIVE	LODGENET INTERACTIVE	3363
LODGIAN INC	LODGIAN INC.	LODGIAN	LODGIAN	3364
LOEWS CORP	LOEWS CP	LOEWS	LOEWS	3365
LOGIC DEVICES INC	LOGIC DEVICES	LOGIC DEVICES	LOGIC DEVICES	3366
LOGICBIO THERAPEUTICS INC	LOGICBIO THERAPEUTICS INC	LOGICBIO THERAPEUTICS	LOGICBIO THERAPEUTICS	3367
LOGMEIN INC	LOGMEIN INC	LOGMEIN	LOGMEIN	3368
LONE PINE RESOURCES INC	LONE PINE RESOURCES INC	LONE PINE RESOURCES	LONE PINE RESOURCES	3369
LONGWEI PETROLEUM INVT HLDG LTD	LONGWEI PETROLEUM INVESTMENT HOL	LONGWEI PETROLEUM INVESTMENTS HOL	LONGWEI PETROLEUM INVT HLDG	3370
LOOKSMART LTD	LOOKSMART LTD	LOOKSMART	LOOKSMART	3371
LOOPNET INC	LOOPNET INC	LOOPNET	LOOPNET	3372
LORAL SPACE & COMMUNICATIONS INC	LORAL SPACE & COMMUNICATIONS	LORAL SPACE  COMMUNICATIONS	LORAL SPACE  COMMUNICATIONS	3373
LORILLARD INC	LORILLARD INC	LORILLARD	LORILLARD	3374
LOUISIANA PACIFIC CORP	LOUISIANA PAC CP	LOUISIANA PAC	LOUISIANA PACIFIC	3375
LOWES COMPANIES INC	LOWE'S COMPANIES INC	LOWES CO	LOWES CO	3376
LOXO ONCOLOGY INC	LOXO ONCOLOGY INC	LOXO ONCOLOGY	LOXO ONCOLOGY	3377
LPATH INC	LPATH INC	LPATH	LPATH	3378
LUBRIZOL CORP	LUBRIZOL CORP	LUBRIZOL	LUBRIZOL	3379
LUBYS INC	LUBY'S INC.	LUBYS	LUBYS	3380
LUCAS ENERGY INC	LUCAS ENERGY INC	LUCAS ENERGY	LUCAS ENERGY	3381
LUFKIN INDUSTRIES INC	LUFKIN INDS INC	LUFKIN INDS	LUFKIN INDUSTRIES	3382
LULULEMON ATHLETICA INC	LULULEMON ATHLETICA INC	LULULEMON ATHLETICA	LULULEMON ATHLETICA	3383
LUMBER LIQUIDATORS HOLDINGS INC	LUMBER LIQUIDATORS HOLDINGS INC	LUMBER LIQUIDATORS HOLDINGS	LUMBER LIQUIDATORS HOLDINGS	3384
LUMENTUM HOLDINGS INC	LUMENTUM HOLDINGS INC	LUMENTUM HOLDINGS	LUMENTUM HOLDINGS	3385
LUMINEX CORP	LUMINEX	LUMINEX	LUMINEX	3386
LUMOS NETWORKS CORP	LUMOS NETWORKS CORP	LUMOS NETWORKS	LUMOS NETWORKS	3387
LUNA INNOVATIONS INC	LUNA INNOVATIONS INC	LUNA INNOVATIONS	LUNA INNOVATIONS	3388
LUTHER BURBANK CORP	LUTHER BURBANK CORP	LUTHER BURBANK	LUTHER BURBANK	3389
LYDALL INC	LYDALL INC	LYDALL	LYDALL	3390
LYON WILLIAM HOMES	WILLIAM LYON HOMES	WILLIAM LYON HOMES	LYON WILLIAM HOMES	3391
M & F WORLDWIDE CORP	M & F WORLDWIDE CORP	M  F WORLDWIDE	M  F WORLDWIDE	3392
M & T BANK CORP	MT BANK CORP	MT BANK	M  T BANK	3393
M A COM TECHNOLOGY SOLS HLDS INC	M/A-COM TECHNOLOGY SLTN HLDG INC	MACOM TECHNOLOGY SLTN HLDG	M A COM TECHNOLOGY SOLS HLDS	3394
M A M SOFTWARE GROUP INC	MAM SOFTWARE GROUP INC	MAM SOFTWARE GROUP	M A M SOFTWARE GROUP	3395
M A P PHARMACEUTICALS INC	MAP PHARMACEUTICALS INC	MAP PHARMACEUTICALS	M A P PHARMACEUTICALS	3396
M B FINANCIAL INC NEW	MB FINANCIAL INC	MB FINANCIAL	M B FINANCIAL INC NEW	3397
M B I A INC	MBIA INC	MBIA	M B I A	3398
M B T FINANCIAL CORP	MBT FINANCIAL CORP	MBT FINANCIAL	M B T FINANCIAL	3399
M C B C HOLDINGS INC	MCBC HOLDINGS INC	MCBC HOLDINGS	M C B C HOLDINGS	3400
M D C HOLDINGS INC	MDC HOLDINGS	MDC HOLDINGS	M D C HOLDINGS	3401
M D R N A INC	MDRNA INC	MDRNA	M D R N A	3402
M D U RESOURCES GROUP INC	MDU RESOURCES GROUP INC	MDU RESOURCES GROUP	M D U RESOURCES GROUP	3403
M E I PHARMA INC	MEI PHARMA INC	MEI PHARMA	M E I PHARMA	3404
M E L A SCIENCES INC	MELA SCIENCES INC	MELA SCIENCES	M E L A SCIENCES	3405
M E M C ELECTRONIC MATERIALS INC	MEMC ELECTRONIC MATERIALS INC	MEMC ELECTRONIC MATERIALS	M E M C ELECTRONIC MATERIALS	3406
M F GLOBAL HOLDINGS LTD	MF GLOBAL HOLDINGS LTD	MF GLOBAL HOLDINGS	M F GLOBAL HOLDINGS	3407
M F R I INC	MFRI INC	MFRI	M F R I	3408
M G C DIAGNOSTICS CORP	MGC DIAGNOSTICS CORP	MGC DIAGNOSTICS	M G C DIAGNOSTICS	3409
M G E ENERGY INC	MGE ENERGY INC	MGE ENERGY	M G E ENERGY	3410
M G I C INVESTMENT CORP WIS	MGIC INVT CORP WIS	MGIC INVT CORP WIS	M G I C INVESTMENTS CORP WIS	3411
M G M MIRAGE	MGM MIRAGE	MGM MIRAGE	M G M MIRAGE	3412
M G M RESORTS INTERNATIONAL	MGM RESORTS INTERNATIONAL	MGM RESORTS INTERNATIONAL	M G M RESORTS INTERNATIONAL	3413
M G P INGREDIENTS INC	"MGPI PROCESSING, INC."	MGPI PROCESSING	M G P INGREDIENTS	3414
M G T CAPITAL INVESTMENTS INC	MGT CAPITAL INVESTMENTS INC	MGT CAPITAL INVESTMENTS	M G T CAPITAL INVESTMENTS	3415
M I C T INC	MICT INC	MICT	M I C T	3416
M I HOMES INC	M/I HOMES INC	MI HOMES	M I HOMES	3417
M I P S TECHNOLOGIES INC	MIPS TECHNOLOGIES INC	MIPS TECHNOLOGY	M I P S TECHNOLOGY	3418
M K S INSTRUMENTS INC	MKS INSTRUMENTS INC.	MKS INSTRUMENTS	M K S INSTRUMENTS	3419
M O C O N INC	MOCON INC	MOCON	M O C O N	3420
M P S GROUP INC	MPS GROUP INC	MPS GROUP	M P S GROUP	3421
M R C GLOBAL INC	MRC GLOBAL INC	MRC GLOBAL	M R C GLOBAL	3422
M R V COMMUNICATIONS INC	MRV COMMUNICATIONS INC	MRV COMMUNICATIONS	M R V COMMUNICATIONS	3423
M S A SAFETY INC	MINE SAFETY APPLIANCES COMPANY	MINE SAFETY APPLIANCES	M S A SAFETY	3424
M S C I INC	MSCI INC	MSCI	M S C I	3425
M S C INDUSTRIAL DIRECT INC	MSC INDUSTRIAL	MSC INDUSTRIAL	M S C INDUSTRIAL DIRECT	3426
M S G NETWORKS INC	MSG NETWORKS INC	MSG NETWORKS	M S G NETWORKS	3427
M T R GAMING GROUP	MTR GAMING GROUP INC	MTR GAMING GROUP	M T R GAMING GROUP	3428
M T S SYSTEMS CORP	MTS SYS CORPORATION	MTS SYS	M T S SYSTEMS	3429
M W I VETERINARY SUPPLY INC	MWI VETERINARY SUPPLY INC	MWI VETERINARY SUPPLY	M W I VETERINARY SUPPLY	3430
M Y R GROUP INC DE	MYR GROUP INC	MYR GROUP	M Y R GROUP INC	3431
MABVAX THERAPEUTICS HOLDINGS INC	MABVAX THERAPEUTICS HOLDINGS INC	MABVAX THERAPEUTICS HOLDINGS	MABVAX THERAPEUTICS HOLDINGS	3432
MAC GRAY CORP	MAC-GRAY CORP	MACGRAY	MAC GRAY	3433
MACATAWA BANK CORP	MACATAWA BANK CORPORATION	MACATAWA BANK	MACATAWA BANK	3434
MACE SECURITY INTL INC	"MACE SECURITY INTERNATIONAL, INC"	MACE SECURITY INTERNATIONAL	MACE SECURITY INTERNATIONAL	3435
MACKINAC FINANCIAL CORP	MACKINAC FINANCIAL CORP	MACKINAC FINANCIAL	MACKINAC FINANCIAL	3436
MACOM TECHNOLOGY SOLS HLDS INC	M/A-COM TECHNOLOGY SLTN HLDG INC	MACOM TECHNOLOGY SLTN HLDG	MACOM TECHNOLOGY SOLS HLDS	3437
MACQUARIE INFRASTRUCTURE CO LLC	MACQUARIE INFRASTRUCTURE COMPANY	MACQUARIE INFRASTRUCTURE	MACQUARIE INFRASTRUCTURE CO	3438
MACQUARIE INFRASTRUCTURE CORP	MACQUARIE INFRASTRUCTURE COMPANY	MACQUARIE INFRASTRUCTURE	MACQUARIE INFRASTRUCTURE	3439
MACROGENICS INC	MACROGENICS INC	MACROGENICS	MACROGENICS	3440
MACYS INC	MACYS INC	MACYS	MACYS	3441
MADDEN STEVEN LTD	STEVEN MADDEN LTD	STEVEN MADDEN	MADDEN STEVEN	3442
MADISON SQUARE GARDEN CO	MADISON SQUARE GARDEN CO	MADISON SQUARE GARDEN	MADISON SQUARE GARDEN	3443
MADISON SQUARE GARDEN CO NEW	MADISON SQUARE GARDEN CO	MADISON SQUARE GARDEN	MADISON SQUARE GARDEN CO NEW	3444
MADISON SQUARE GARDEN INC	MADISON SQUARE GARDEN INC	MADISON SQUARE GARDEN	MADISON SQUARE GARDEN	3445
MADRIGAL PHARMACEUTICALS INC	MADRIGAL PHARMACEUTICALS INC	MADRIGAL PHARMACEUTICALS	MADRIGAL PHARMACEUTICALS	3446
MAGELLAN HEALTH INC	MAGELLAN HEALTH SERVICES INC	MAGELLAN HEALTH SERVICES	MAGELLAN HEALTH	3447
MAGELLAN HEALTH SERVICES INC	MAGELLAN HEALTH SERVICES INC	MAGELLAN HEALTH SERVICES	MAGELLAN HEALTH SERVICES	3448
MAGELLAN PETROLEUM CORP	MAGELLAN PETROLEUM CORP	MAGELLAN PETROLEUM	MAGELLAN PETROLEUM	3449
MAGENTA THERAPEUTICS INC	MAGENTA THERAPEUTICS INC	MAGENTA THERAPEUTICS	MAGENTA THERAPEUTICS	3450
MAGMA DESIGN AUTOMATION INC	MAGMA DESIGN AUTOMATION	MAGMA DESIGN AUTOMATION	MAGMA DESIGN AUTOMATION	3451
MAGNACHIP SEMICONDUCTOR CORP	MAGNACHIP SEMICONDUCTOR CORP	MAGNACHIP SEMICONDUCTOR	MAGNACHIP SEMICONDUCTOR	3452
MAGNEGAS APPLIED TECH SOLNS INC	MAGNEGAS APPLIED TECHNOLOGY SOLU	MAGNEGAS APPLIED TECHNOLOGY SOLU	MAGNEGAS APPLIED TECHNOLOGY SOLNS	3453
MAGNEGAS CORP	MAGNEGAS CORP	MAGNEGAS	MAGNEGAS	3454
MAGNETEK INC	MAGNETEK INCORPORATED	MAGNETEK	MAGNETEK	3455
MAGNOLIA OIL & GAS CORP	MAGNOLIA OIL & GAS CORP	MAGNOLIA OIL  GAS	MAGNOLIA OIL  GAS	3456
MAGNUM HUNTER RESOURCES CORP	MAGNUM HUNTER RESOURCES CORP	MAGNUM HUNTER RESOURCES	MAGNUM HUNTER RESOURCES	3457
MAGYAR BANCORP INC	MAGYAR BANCORP INC	MAGYAR BANK	MAGYAR BANK	3458
MAIDENFORM BRANDS INC	MAIDENFORM BRANDS INC	MAIDENFORM BRANDS	MAIDENFORM BRANDS	3459
MAINE & MARITIMES CORP	MAINE & MARITIME SERVICE CORP	MAINE  MARITIME SERVICES	MAINE  MARITIMES	3460
MAINSOURCE FINANCIAL GROUP INC	MAINSOURCE FINANCIAL GROUP INC	MAINSOURCE FINANCIAL GROUP	MAINSOURCE FINANCIAL GROUP	3461
MAJESCO	MAJESCO	MAJESCO	MAJESCO	3462
MAJESCO ENTERTAINMENT CO	MAJESCO ENTERTAINMENT CO	MAJESCO ENTERTAINMENT	MAJESCO ENTERTAINMENT	3463
MAKEMUSIC INC	MAKEMUSIC INC	MAKEMUSIC	MAKEMUSIC	3464
MAKO SURGICAL CORP	MAKO SURGICAL CORP	MAKO SURGICAL	MAKO SURGICAL	3465
MALIBU BOATS INC	MALIBU BOATS INC	MALIBU BOATS	MALIBU BOATS	3466
MALVERN BANCORP INC	MALVERN FEDERAL BANCORP INC	MALVERN FEDERAL BANK	MALVERN BANK	3467
MALVERN FEDERAL BANCORP INC	MALVERN FEDERAL BANCORP INC	MALVERN FEDERAL BANK	MALVERN FEDERAL BANK	3468
MALVERN FEDERAL BANCORP INC NEW	MALVERN FEDERAL BANCORP INC	MALVERN FEDERAL BANK	MALVERN FEDERAL BANK INC NEW	3469
MAMMOTH ENERGY SERVICES INC	MAMMOTH ENERGY SERVICES INC	MAMMOTH ENERGY SERVICES	MAMMOTH ENERGY SERVICES	3470
MANAGEMENT NETWORK GROUP INC	MANAGEMENT NETWORK GROUP INC	MANAGEMENT NETWORK GROUP	MANAGEMENT NETWORK GROUP	3471
MANDALAY DIGITAL GROUP INC	MANDALAY DIGITAL GROUP INC	MANDALAY DIGITAL GROUP	MANDALAY DIGITAL GROUP	3472
MANHATTAN ASSOCIATES INC	MANHATTAN ASSOCIATES INC	MANHATTAN ASSOCIATE	MANHATTAN ASSOCIATE	3473
MANHATTAN BRIDGE CAPITAL INC	MANHATTAN BRIDGE CAPITAL INC	MANHATTAN BRIDGE CAPITAL	MANHATTAN BRIDGE CAPITAL	3474
MANITEX INTERNATIONAL INC	MANITEX INTERNATIONAL INC	MANITEX INTERNATIONAL	MANITEX INTERNATIONAL	3475
MANITOWOC CO INC	MANITOWOC INC	MANITOWOC	MANITOWOC CO	3476
MANITOWOC FOODSERVICE INC	MANITOWOC FOODSERVICE INC	MANITOWOC FOODSERVICE	MANITOWOC FOODSERVICE	3477
MANNATECH INC	MANNATECH INC.	MANNATECH	MANNATECH	3478
MANNING & NAPIER INC	MANNING AND NAPIER INC	MANNING   NAPIER	MANNING  NAPIER	3479
MANNKIND CORP	MANNKIND CORP	MANNKIND	MANNKIND	3480
MANPOWER INC WIS	MANPOWER	MANPOWER	MANPOWER INC WIS	3481
MANPOWERGROUP	MANPOWER INC	MANPOWER	MANPOWERGROUP	3482
MANTECH INTERNATIONAL CORP	MANTECH INTERNATIONAL CORP	MANTECH INTERNATIONAL	MANTECH INTERNATIONAL	3483
MARATHON OIL CORP	MARATHON OIL CORP	MARATHON OIL	MARATHON OIL	3484
MARATHON PATENT GROUP INC	MARATHON PATENT GROUP INC	MARATHON PATENT GROUP	MARATHON PATENT GROUP	3485
MARATHON PETROLEUM CORP	MARATHON PETROLEUM CORP	MARATHON PETROLEUM	MARATHON PETROLEUM	3486
MARCHEX INC	MARCHEX INC	MARCHEX	MARCHEX	3487
MARCUS & MILLICHAP INC	MARCUS & MILLICHAP INC	MARCUS  MILLICHAP	MARCUS  MILLICHAP	3488
MARCUS CORP	MARCUS CORP	MARCUS	MARCUS	3489
MARIN SOFTWARE INC	MARIN SOFTWARE INC	MARIN SOFTWARE	MARIN SOFTWARE	3490
MARINA BIOTECH INC	MARINA BIOTECH INC	MARINA BIOTECH	MARINA BIOTECH	3491
MARINE PRODUCTS CORP	MARINE PRODUCTS CORP	MARINE PRODUCTS	MARINE PRODUCTS	3492
MARINEMAX INC	MARINEMAX INC	MARINEMAX	MARINEMAX	3493
MARINER ENERGY INC	MARINER ENERGY INC	MARINER ENERGY	MARINER ENERGY	3494
MARINUS PHARMACEUTICALS INC	MARINUS PHARMACEUTICALS INC	MARINUS PHARMACEUTICALS	MARINUS PHARMACEUTICALS	3495
MARKEL CORP	MARKEL CORP	MARKEL	MARKEL	3496
MARKER THERAPEUTICS INC	MARKER THERAPEUTICS INC	MARKER THERAPEUTICS	MARKER THERAPEUTICS	3497
MARKET LEADER INC	MARKET LEADER INC	MARKET LEADER	MARKET LEADER	3498
MARKETAXESS HLDGS INC	MARKETAXESS HOLDINGS INC	MARKETAXESS HOLDINGS	MARKETAXESS HLDGS	3499
MARKETO INC	MARKETO INC	MARKETO	MARKETO	3500
MARLIN BUSINESS SVCS CORP	MARLIN BUSINESS SERVICES CORPORA	MARLIN BUSINESS SERVICES	MARLIN BUSINESS SERVICES	3501
MARRIOTT INTERNATIONAL INC NEW	MARRIOTT INTERNATIONAL INC	MARRIOTT INTERNATIONAL	MARRIOTT INTERNATIONAL INC NEW	3502
MARRIOTT VACATIONS WORLDWIDE COR	MARRIOTT VACATIONS WORLDWIDE COR	MARRIOTT VACATIONS WORLDWIDE COR	MARRIOTT VACATIONS WORLDWIDE COR	3503
MARRONE BIO INNOVATIONS INC	MARRONE BIO INNOVATION INC	MARRONE BIO INNOVATION	MARRONE BIO INNOVATIONS	3504
MARSH & MCLENNAN COS INC	MARSH & MCLENNAN COMPANIES INC	MARSH  MCLENNAN CO	MARSH  MCLENNAN COS	3505
MARSHALL & ILSLEY CORP NEW	MARSHALL & ILSLEY CORP	MARSHALL  ILSLEY	MARSHALL  ILSLEY CORP NEW	3506
MARSHALL EDWARDS INC	MARSHALL EDWARDS INC	MARSHALL EDWARDS	MARSHALL EDWARDS	3507
MARTEK BIOSCIENCES CORP	MARTEK BIOSCIENCE CORPORATION	MARTEK BIOSCIENCE	MARTEK BIOSCIENCES	3508
MARTEN TRANSPORT LTD	MARTEN TRANS LTD	MARTEN TRANS	MARTEN TRANSPORT	3509
MARTHA STEWART LVNG OMNIMEDIA IN	MARTHA STEWART LIVING	MARTHA STEWART LIVING	MARTHA STEWART LVNG OMNIMEDIA IN	3510
MARTIN MARIETTA MATERIALS INC	MARTIN MARIETTA MATERIALS	MARTIN MARIETTA MATERIALS	MARTIN MARIETTA MATERIALS	3511
MASCO CORP	MASCO CORP	MASCO	MASCO	3512
MASIMO CORP	MASIMO CORP	MASIMO	MASIMO	3513
MASSEY ENERGY CO	MASSEY ENERGY COMPANY	MASSEY ENERGY	MASSEY ENERGY	3514
MAST THERAPEUTICS INC	MAST THERAPEUTICS INC	MAST THERAPEUTICS	MAST THERAPEUTICS	3515
MASTEC INC	MASTEC INCORPORATED	MASTEC	MASTEC	3516
MASTECH DIGITAL INC	MASTECH DIGITAL INC	MASTECH DIGITAL	MASTECH DIGITAL	3517
MASTECH HOLDINGS INC	MASTECH HOLDINGS INC	MASTECH HOLDINGS	MASTECH HOLDINGS	3518
MASTERCARD INC	MASTERCARD INC	MASTERCARD	MASTERCARD	3519
MATADOR RESOURCES CO	MATADOR RESOURCES CO	MATADOR RESOURCES	MATADOR RESOURCES	3520
MATCH GROUP INC	MATCH GROUP INC	MATCH GROUP	MATCH GROUP	3521
MATERIAL SCIENCES CORP	MATERIAL SCIENCES CORP	MATERIAL SCIENCES	MATERIAL SCIENCES	3522
MATERION CORP	MATERION CORP	MATERION	MATERION	3523
MATINAS BIOPHARMA HOLDINGS INC	MATINAS BIOPHARMA HOLDINGS INC	MATINAS BIOPHARMA HOLDINGS	MATINAS BIOPHARMA HOLDINGS	3524
MATRIX SERVICE CO	MATRIX SERVICE CO	MATRIX SERVICES	MATRIX SERVICES	3525
MATRIXX INITIATIVES INC	MATRIXX INITIATIVES INC	MATRIXX INITIATIVES	MATRIXX INITIATIVES	3526
MATSON INC	MATSON INC	MATSON	MATSON	3527
MATTEL INC	MATTEL INC	MATTEL	MATTEL	3528
MATTERSIGHT CORP	MATTERSIGHT CORP	MATTERSIGHT	MATTERSIGHT	3529
MATTHEWS INTERNATIONAL CORP	MATTHEWS INTERNATIONAL	MATTHEWS INTERNATIONAL	MATTHEWS INTERNATIONAL	3530
MATTRESS FIRM HOLDING CORP	MATTRESS FIRM HOLDING CORP	MATTRESS FIRM HOLDINGS	MATTRESS FIRM HOLDINGS	3531
MATTSON TECHNOLOGY INC	MATTSON TECHNOLOGY INC	MATTSON TECHNOLOGY	MATTSON TECHNOLOGY	3532
MAUI LAND & PINEAPPLE CO INC	MAUI LAND & PINEAPPLE COMPANY IN	MAUI LAND  PINEAPPLE CO IN	MAUI LAND  PINEAPPLE CO	3533
MAVENIR SYSTEMS INC	MAVENIR SYSTEMS INC	MAVENIR SYSTEMS	MAVENIR SYSTEMS	3534
MAXIM INTEGRATED PRODUCTS INC	MAXIM INTEGRATED	MAXIM INTEGRATED	MAXIM INTEGRATED PRODUCTS	3535
MAXIMUS INC	MAXIMUS INC	MAXIMUS	MAXIMUS	3536
MAXLINEAR INC	MAXLINEAR INC	MAXLINEAR	MAXLINEAR	3537
MAXPOINT INTERACTIVE INC	MAXPOINT INTERACTIVE INC	MAXPOINT INTERACTIVE	MAXPOINT INTERACTIVE	3538
MAXWELL TECHNOLOGIES INC	MAXWELL TECHNOLOGIES INCORPORATE	MAXWELL TECHNOLOGY INCORPORATE	MAXWELL TECHNOLOGY	3539
MAXYGEN INC	MAXYGEN INC	MAXYGEN	MAXYGEN	3540
MAYS J W INC	"MAYS, J W"	MAYS J W	MAYS J W	3541
MCAFEE INC	MCAFEE INC	MCAFEE	MCAFEE	3542
MCCLATCHY CO	MCCLATCHY NEWS	MCCLATCHY NEWS	MCCLATCHY	3543
MCCORMICK & CO INC	MCCORMICK & CO	MCCORMICK 	MCCORMICK  CO	3544
